Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,type
10,6.384999999999999,1,0.12311145300000001,13,36.9874,27,1985,1,2,3,388.1614,Train
34,15.25,0,0.026480953999999998,13,87.6198,27,1985,1,2,3,2180.495,Train
02,13.35,0,0.102511504,4,230.6352,46,1997,2,0,1,3435.528,Train
43,9.8,0,0.02681843,10,126.00200000000001,13,1987,0,2,1,2150.534,Train
46,13.6,0,0.117818348,13,192.9136,49,1999,1,0,1,2527.3768,Train
02,21.35,0,0.06910283099999999,3,259.9278,18,2009,1,2,2,6768.5228,Train
50,12.15,1,0.042277867000000004,3,126.5046,13,1987,0,2,1,373.5138,Train
39,6.42,0,0.08949892599999999,4,178.1002,10,1998,2,2,0,358.2004,Train
05,19.6,0,0.018756953777777776,8,153.3024,45,2002,2,1,1,2428.8384,Train
49,10.0,0,0.025879577,3,265.2226,45,2002,2,1,1,5815.0972,Train
12,15.85,1,0.121632721,0,60.622,46,1997,2,0,1,2576.646,Train
02,10.195000000000002,1,0.25539489600000004,4,196.8794,19,1985,2,0,0,780.3176,Train
17,7.39,0,0.067779712,8,143.8812,46,1997,2,0,1,3134.5864,Train
40,10.195,0,0.159803853,5,141.5154,13,1987,0,2,1,850.8924,Train
13,9.895,1,0.028696932,3,117.0492,13,1987,0,2,1,810.9444,Train
43,10.895,0,0.065041581,6,196.3794,17,2007,2,1,1,3121.2704,Train
18,12.15,0,0.028760012999999997,9,151.4708,17,2007,2,1,1,4815.0656,Train
21,7.905,0,0.010053105,13,249.0408,18,2009,1,2,2,6258.52,Train
54,9.195,0,0.048157338,9,106.1622,45,2002,2,1,1,2117.244,Train
35,8.365,0,0.071958197,7,38.0506,49,1999,1,0,1,796.9626,Train
21,15.1,0,0.17348130399999998,13,194.511,46,1997,2,0,1,4910.275,Train
26,5.9399999999999995,0,0.061082177,3,180.0344,19,1985,2,0,0,892.172,Train
20,10.0,0,0.0364918673,6,246.9144,18,2009,1,2,2,3185.1872,Train
27,7.97,1,0.040071131,10,87.3514,45,2002,2,1,1,1062.6168,Train
09,6.215,0,0.012090074,6,38.2848,27,1985,1,2,3,484.7024,Train
40,15.5,1,0.15028599,5,51.0692,19,1985,2,0,0,147.8076,Train
45,17.5,0,0.026015518999999997,13,255.8356,27,1985,1,2,3,2543.356,Train
46,17.7,0,0.195068226,13,185.4266,10,1998,2,2,0,184.4266,Train
19,19.35,0,0.033082215,10,172.5738,35,2004,2,1,1,4865.6664,Train
03,13.65,1,0.078946455,4,186.024,45,2002,2,1,1,1118.5439999999999,Train
37,17.6,0,0.041700756,14,164.8526,45,2002,2,1,1,2302.3364,Train
17,8.645,0,0.14342264300000002,8,95.84100000000001,46,1997,2,0,1,2027.361,Train
58,15.6,1,0.10529607199999999,13,170.1764,46,1997,2,0,1,3435.528,Train
12,15.85,1,0.121531501,0,59.222,13,1987,0,2,1,599.22,Train
35,18.25,0,0.05810121044444445,15,164.7526,45,2002,2,1,1,4604.6728,Train
02,7.855,0,0.011324862,3,189.6188,17,2007,2,1,1,2285.0256,Train
18,7.825,0,0.186357148,9,254.3698,49,1999,1,0,1,5580.7356,Train
29,8.39,1,0.024205661,5,114.0176,46,1997,2,0,1,2290.3520000000003,Train
10,12.85,0,0.033230816,13,172.3422,49,1999,1,0,1,1207.0954,Train
48,13.349999999999998,0,0.113720344,0,89.9804,19,1985,2,0,0,643.1628,Train
04,19.0,0,0.11255650699999999,5,104.9622,17,2007,2,1,1,1587.933,Train
25,5.905,0,0.04441604033333333,3,222.5456,45,2002,2,1,1,5305.0944,Train
58,7.76,0,0.05935224099999999,13,101.87,46,1997,2,0,1,1697.79,Train
04,11.8,1,0.014087057,5,180.3344,46,1997,2,0,1,1427.4752,Train
45,16.75,0,0.045230944,13,187.9556,18,2009,1,2,2,4693.89,Train
18,18.849999999999998,0,0.293417759,9,194.6136,19,1985,2,0,0,583.2408,Train
12,12.599999999999998,1,0.031382044,0,171.3764,27,1985,1,2,3,3091.9752,Train
20,15.5,1,0.12639886,6,177.0028,17,2007,2,1,1,2479.4392,Train
55,6.055,0,0.025403897999999998,6,160.99200000000002,35,2004,2,1,1,2716.4640000000004,Train
49,20.2,1,0.039057677,2,155.963,27,1985,1,2,3,3285.723,Train
33,6.305,1,0.123115764,13,95.6436,46,1997,2,0,1,661.8052,Train
27,20.85,0,0.039624006,10,117.2808,49,1999,1,0,1,1523.3504,Train
20,20.75,0,0.040421193,6,122.17299999999999,10,1998,2,2,0,369.519,Train
27,8.895,0,0.10527411099999999,4,39.9138,49,1999,1,0,1,690.4346,Train
25,19.6,0,0.033970195,14,55.1614,45,2002,2,1,1,1381.535,Train
44,19.7,0,0.053212652,6,57.893,35,2004,2,1,1,622.523,Train
17,9.8,0,0.024378706,8,114.5492,35,2004,2,1,1,1274.3412,Train
04,7.93,0,0.009714595,5,120.0414,19,1985,2,0,0,487.3656,Train
41,12.15,0,0.131383762,5,246.046,49,1999,1,0,1,1231.73,Train
56,8.75,1,0.07461309,6,187.4556,35,2004,2,1,1,3755.112,Train
18,12.150000000000002,0,0.028459761,9,149.9708,27,1985,1,2,3,4363.6532,Train
56,8.75,1,0.07462720099999999,6,187.8556,46,1997,2,0,1,1314.2892,Train
28,13.3,0,0.063695084,5,151.0708,45,2002,2,1,1,1805.6496,Train
10,20.599999999999998,1,0.045797829000000005,13,178.5344,27,1985,1,2,3,2854.9504,Train
57,8.31,1,0.11585722300000001,13,179.1028,49,1999,1,0,1,3896.2616,Train
48,16.75,1,0.024832806000000002,14,38.7822,13,1987,0,2,1,667.7974,Train
09,19.75,0,0.034027909,13,212.0902,18,2009,1,2,2,3185.853,Train
14,17.1,1,0.046769599999999995,3,141.1838,13,1987,0,2,1,2247.7408,Train
47,10.5,1,0.11657670199999999,0,163.121,13,1987,0,2,1,1794.3310000000001,Train
12,6.635,1,0.004924115333333334,0,121.3098,45,2002,2,1,1,2530.7058,Train
60,9.394999999999998,0,0.278974075,14,225.372,19,1985,2,0,0,679.1160000000001,Train
49,14.15,0,0.035913805,14,41.4138,13,1987,0,2,1,812.2760000000001,Train
03,13.3,0,0.079806266,4,232.53,46,1997,2,0,1,699.09,Train
52,8.89,0,0.005505481,5,102.4016,17,2007,2,1,1,2732.4432,Train
39,6.6899999999999995,1,0.064625342,10,176.937,19,1985,2,0,0,176.437,Train
34,6.195,0,0.071636937,13,121.7098,27,1985,1,2,3,4097.3332,Train
11,9.1,1,0.078393078375,1,173.2054,45,2002,2,1,1,3151.8972,Train
17,7.5,0,0.032677677999999995,5,239.0906,49,1999,1,0,1,5942.265,Train
16,16.85,1,0.160760054,5,192.4478,17,2007,2,1,1,4843.695,Train
46,7.485,0,0.06911065,13,109.0228,35,2004,2,1,1,2542.0244,Train
12,11.6,0,0.041177505,14,140.3154,17,2007,2,1,1,2552.6772,Train
58,11.65,0,0.040081193,13,227.0694,18,2009,1,2,2,1141.847,Train
19,13.0,0,0.035307322,9,47.5034,17,2007,2,1,1,680.4476,Train
13,12.65,0,0.063017847,14,159.0578,45,2002,2,1,1,2085.9514,Train
14,20.25,1,0.171938781,3,92.512,10,1998,2,2,0,186.424,Train
38,8.6,1,0.040197932,3,190.153,35,2004,2,1,1,3036.048,Train
11,12.6,0,0.049058014000000004,1,62.7194,17,2007,2,1,1,866.8716,Train
40,17.7,0,0.01161096,5,95.041,35,2004,2,1,1,868.8689999999999,Train
49,14.15,0,0.183507295,14,82.4276,46,1997,2,0,1,1137.1864,Train
38,19.25,0,0.102349519,4,52.7956,17,2007,2,1,1,928.1252,Train
23,8.88,0,0.08670898699999999,7,151.7682,13,1987,0,2,1,762.341,Train
30,20.5,0,0.032835147,9,40.2822,45,2002,2,1,1,707.0796,Train
25,12.0,0,0.033809913,3,180.5976,27,1985,1,2,3,7968.2944,Train
54,13.5,0,0.07266912,9,160.292,46,1997,2,0,1,1438.128,Train
53,12.150000000000002,0,0.144338493,8,224.4404,27,1985,1,2,3,6976.2524,Train
52,8.89,0,0.009163216,5,101.7016,10,1998,2,2,0,101.2016,Train
02,7.855,0,0.011307038,3,188.5188,18,2009,1,2,2,952.0939999999999,Train
26,7.235,0,0.076855628,9,116.0492,46,1997,2,0,1,1969.4364,Train
35,18.25,0,0.059956876,15,165.4526,27,1985,1,2,3,5262.4832,Train
51,6.92,0,0.038532062,4,60.5852,45,2002,2,1,1,1314.2892,Train
44,9.3,0,0.043209581,6,90.8172,17,2007,2,1,1,535.3032,Train
07,18.5,0,0.056816465,11,132.1284,10,1998,2,2,0,263.6568,Train
31,8.02,0,0.019866705,9,154.5972,35,2004,2,1,1,1402.1748,Train
54,9.195,0,0.048331717,9,105.1622,17,2007,2,1,1,1693.7952,Train
55,12.8,0,0.091221855,11,105.5938,45,2002,2,1,1,2143.876,Train
30,16.6,0,0.027622076000000002,9,177.6344,49,1999,1,0,1,2676.5159999999996,Train
16,14.0,1,0.14164533829999998,5,53.06399999999999,35,2004,2,1,1,905.488,Train
16,18.6,0,0.039355947,5,246.3802,49,1999,1,0,1,7370.406,Train
11,16.0,0,0.060836524,15,226.8404,35,2004,2,1,1,6301.1312,Train
06,17.6,0,0.082316506,8,160.692,35,2004,2,1,1,1597.92,Train
45,21.25,0,0.155350299,13,178.237,35,2004,2,1,1,529.311,Train
26,7.235,0,0.076841095,9,117.5492,35,2004,2,1,1,1969.4364,Train
25,14.6,0,0.151419185,14,50.3692,17,2007,2,1,1,1034.6532,Train
28,13.85,1,0.026001976,5,161.52100000000002,18,2009,1,2,2,1794.3310000000001,Train
04,13.65,1,0.073209447,5,197.6426,18,2009,1,2,2,2768.3964,Train
12,9.5,0,0.041683481,14,31.29,27,1985,1,2,3,898.83,Train
20,7.365,0,0.042560252,6,226.172,46,1997,2,0,1,3169.208,Train
18,18.35,0,0.014081156000000001,9,223.5746,18,2009,1,2,2,3589.9936,Train
36,5.465,1,0.030340533875000006,0,132.5626,18,2009,1,2,2,262.3252,Train
13,18.6,0,0.152918384,2,99.8358,17,2007,2,1,1,1910.1802,Train
24,13.85,0,0.030969273999999998,14,140.9154,17,2007,2,1,1,1701.7848,Train
28,14.0,1,0.06037677599999999,5,154.5656,13,1987,0,2,1,2471.4496,Train
22,14.0,1,0.04192285,13,54.763999999999996,13,1987,0,2,1,1331.6,Train
07,21.349999999999998,0,0.077367431,6,97.0094,27,1985,1,2,3,1808.9786,Train
25,5.905,0,0.045838211,3,222.5456,18,2009,1,2,2,3315.684,Train
49,7.27,0,0.071077939,14,114.2518,46,1997,2,0,1,2618.5914,Train
51,6.155,1,0.09465987099999999,10,214.55599999999998,46,1997,2,0,1,2769.728,Train
01,19.5,1,0.077608838,14,233.4958,17,2007,2,1,1,5375.0034,Train
25,15.2,0,0.021327477,3,216.8824,17,2007,2,1,1,2838.9712,Train
50,12.15,1,0.042485444000000004,3,125.0046,18,2009,1,2,2,1743.0644,Train
30,14.599999999999998,0,0.025578526,9,198.8084,27,1985,1,2,3,5555.4352,Train
11,12.6,0,0.048980800000000005,1,61.9194,18,2009,1,2,2,619.194,Train
43,14.5,0,0.019471688,11,164.821,35,2004,2,1,1,2120.573,Train
44,16.6,0,0.122918852,6,173.0738,17,2007,2,1,1,3823.0236,Train
15,11.8,1,0.057373797000000004,10,151.4366,13,1987,0,2,1,1360.2294,Train
31,13.1,1,0.044155597000000005,6,178.8318,13,1987,0,2,1,3969.4996,Train
32,17.7,0,0.291865402,6,115.1834,10,1998,2,2,0,345.5502,Train
47,17.85,0,0.0853547126,1,196.5794,10,1998,2,2,0,585.2382,Train
35,12.3,1,0.064750025,15,92.6804,45,2002,2,1,1,1010.6844,Train
05,11.8,0,0.098312421,8,81.4618,10,1998,2,2,0,161.1236,Train
23,9.394999999999998,1,0.191013663,14,42.1112,19,1985,2,0,0,42.6112,Train
24,11.1,0,0.176573035,0,157.4604,45,2002,2,1,1,3010.7476,Train
28,14.0,1,0.060134441,5,153.0656,27,1985,1,2,3,6024.1584,Train
39,11.3,0,0.0072946519999999996,10,198.1426,45,2002,2,1,1,988.7130000000001,Train
17,10.0,0,0.128478462,8,117.944,19,1985,2,0,0,239.688,Train
50,5.75,1,0.075107656,4,112.8176,13,1987,0,2,1,1374.2112,Train
12,6.215,1,0.049381405999999996,0,226.8062,27,1985,1,2,3,4739.8302,Train
58,11.35,1,0.045165795999999994,13,100.0016,18,2009,1,2,2,1012.0160000000001,Train
08,11.099999999999998,1,0.09415375,6,165.7526,19,1985,2,0,0,657.8104,Train
29,14.0,0,0.028907832,8,130.431,49,1999,1,0,1,778.9860000000001,Train
04,19.75,1,0.018059621,5,179.766,45,2002,2,1,1,2336.958,Train
19,6.525,0,0.09043609400000001,9,85.0882,49,1999,1,0,1,2233.0932,Train
15,10.3,0,0.146399712,10,103.9648,49,1999,1,0,1,1661.8368,Train
58,5.78,1,0.07426435599999999,13,264.7568,49,1999,1,0,1,4745.8224,Train
08,11.85,1,0.050186725999999994,6,164.1526,45,2002,2,1,1,3124.5994,Train
43,16.35,0,0.020631654,6,50.1324,18,2009,1,2,2,467.3916,Train
06,17.599999999999998,0,0.01561108,9,182.5976,27,1985,1,2,3,5070.7328,Train
20,10.5,0,0.041395445,6,37.6164,46,1997,2,0,1,540.6296,Train
41,19.0,1,0.097313129,5,48.0718,46,1997,2,0,1,992.7078,Train
55,14.6,0,0.059582996,11,238.8538,49,1999,1,0,1,6008.845,Train
40,15.599999999999998,1,0.09866365199999999,4,62.9194,27,1985,1,2,3,2105.2596,Train
49,4.615000000000001,1,0.101338651,3,232.63,27,1985,1,2,3,5359.69,Train
53,18.75,0,0.052146455999999994,8,104.62799999999999,45,2002,2,1,1,745.696,Train
36,5.26,1,0.041764487,0,161.8868,35,2004,2,1,1,3275.736,Train
57,18.25,0,0.054344185999999996,13,140.2154,45,2002,2,1,1,1701.7848,Train
24,10.299999999999999,0,0.07836248400000001,0,177.937,27,1985,1,2,3,6704.606,Train
19,15.1,0,0.052339069,10,242.7512,46,1997,2,0,1,4119.9704,Train
24,15.5,1,0.042464962,0,81.5934,10,1998,2,2,0,327.5736,Train
52,13.65,0,0.06573288299999999,5,45.7402,49,1999,1,0,1,780.9834,Train
36,16.1,0,0.023625114,14,189.3846,45,2002,2,1,1,3630.6074,Train
45,5.175,1,0.051643608,13,107.3622,19,1985,2,0,0,317.5866,Train
40,12.85,0,0.165694219,5,39.7164,10,1998,2,2,0,231.6984,Train
12,9.5,0,0.041878397000000005,14,32.99,35,2004,2,1,1,133.16,Train
27,13.8,0,0.058091482,4,245.1802,35,2004,2,1,1,5650.6446,Train
58,5.78,1,0.07731122380000001,13,263.7568,17,2007,2,1,1,2636.5679999999998,Train
30,19.7,0,0.026903714,9,96.0726,45,2002,2,1,1,1272.3438,Train
54,14.65,0,0.0813447597,9,161.5552,10,1998,2,2,0,324.9104,Train
10,6.67,1,0.150554711,13,130.0626,10,1998,2,2,0,131.1626,Train
44,6.11,1,0.09157041555555556,6,131.2968,10,1998,2,2,0,260.9936,Train
28,13.65,1,0.13497562800000001,5,260.0936,10,1998,2,2,0,260.9936,Train
15,17.2,0,0.15616879,10,160.6578,13,1987,0,2,1,3690.5294,Train
39,6.32,0,0.011040999499999999,10,40.2822,35,2004,2,1,1,1139.1838,Train
24,4.88,1,0.133700752,0,52.9298,49,1999,1,0,1,1995.4026,Train
60,5.425,1,0.115119905,0,88.3514,17,2007,2,1,1,1416.8224,Train
28,15.85,1,0.11003099699999999,5,37.2506,46,1997,2,0,1,265.6542,Train
25,7.5,0,0.051038045,3,121.7072,17,2007,2,1,1,3552.7088,Train
13,12.65,0,0.062837968,14,161.5578,13,1987,0,2,1,2406.867,Train
07,9.06,0,0.017116983,11,211.956,19,1985,2,0,0,213.05599999999998,Train
20,20.75,0,0.024129332000000003,6,124.17299999999999,13,1987,0,2,1,2956.152,Train
27,8.93,0,0.049754975,4,152.134,19,1985,2,0,0,153.134,Train
49,9.0,0,0.07721649277777778,3,79.7644,35,2004,2,1,1,1649.8524,Train
25,16.7,0,0.101561568,3,181.9292,27,1985,1,2,3,3101.2964,Train
42,6.36,0,0.0059496440000000005,9,165.6526,27,1985,1,2,3,4769.1254,Train
33,5.365000000000001,1,0.13956116,12,170.4764,27,1985,1,2,3,3435.528,Train
56,14.1,0,0.126035694,6,86.4198,45,2002,2,1,1,1133.8574,Train
14,7.55,0,0.027164679,3,152.334,35,2004,2,1,1,2603.278,Train
06,13.0,0,0.099325278,9,45.406000000000006,46,1997,2,0,1,605.878,Train
47,9.299999999999999,0,0.04357366,7,192.8846,27,1985,1,2,3,2293.0152,Train
46,17.599999999999998,1,0.082741482,13,118.7782,19,1985,2,0,0,119.1782,Train
35,12.3,1,0.064565202,15,92.9804,13,1987,0,2,1,1929.4884,Train
21,7.049999999999999,0,0.08455456900000001,13,109.8912,27,1985,1,2,3,2074.6328,Train
05,11.799999999999999,0,0.058451805,8,79.9618,27,1985,1,2,3,241.6854,Train
38,17.25,0,0.113748685,9,251.3724,45,2002,2,1,1,6795.1548,Train
18,15.85,0,0.020603511,9,42.7112,17,2007,2,1,1,639.168,Train
41,18.85,0,0.052044976,8,192.1846,35,2004,2,1,1,3248.4382,Train
56,16.35,1,0.06276442900000001,6,227.6062,17,2007,2,1,1,7222.5984,Train
51,14.1,0,0.08797726199999999,4,229.0668,35,2004,2,1,1,3225.1352,Train
21,7.905,0,0.010010425,13,249.0408,35,2004,2,1,1,3755.112,Train
25,12.0,0,0.033946163,3,179.3976,13,1987,0,2,1,3440.8544,Train
44,12.15,1,0.058414678,6,163.4552,35,2004,2,1,1,974.7312,Train
43,10.1,0,0.027106459,10,75.367,49,1999,1,0,1,535.969,Train
05,17.5,0,0.027022882999999998,5,262.491,17,2007,2,1,1,5259.82,Train
15,18.349999999999998,0,0.058153409,4,152.034,19,1985,2,0,0,306.268,Train
20,17.1,0,0.128937661,6,112.3886,18,2009,1,2,2,1779.0176,Train
32,7.785,0,0.088846306,6,61.451,49,1999,1,0,1,759.012,Train
34,11.8,1,0.09357779,13,125.9704,13,1987,0,2,1,1877.556,Train
08,13.15,1,0.165694678,6,171.8764,45,2002,2,1,1,3779.0808,Train
04,6.3999999999999995,0,0.148392623,5,41.5796,19,1985,2,0,0,41.2796,Train
13,8.5,0,0.098438394,3,51.1324,17,2007,2,1,1,259.66200000000003,Train
17,8.645,0,0.143303291,8,96.34100000000001,13,1987,0,2,1,193.082,Train
03,17.6,1,0.076276208,10,110.9202,45,2002,2,1,1,1687.8029999999999,Train
12,9.1,0,0.175103435,0,127.5362,17,2007,2,1,1,4655.9394,Train
55,12.8,1,0.023511371,10,225.9404,13,1987,0,2,1,4950.8888,Train
01,7.63,0,0.06105276,14,95.4436,35,2004,2,1,1,1418.154,Train
28,9.285,1,0.049559042000000005,5,246.4144,17,2007,2,1,1,1225.072,Train
38,13.6,1,0.119418124,4,231.03,45,2002,2,1,1,5359.69,Train
01,8.895,0,0.072545601,2,176.237,45,2002,2,1,1,1764.37,Train
54,16.35,0,0.090486828,9,195.21099999999998,13,1987,0,2,1,2553.343,Train
29,17.6,0,0.056245075,5,43.3454,13,1987,0,2,1,1006.6896,Train
24,7.975,0,0.014618973,0,85.225,13,1987,0,2,1,1081.925,Train
59,15.85,0,0.04347912599999999,15,36.7164,17,2007,2,1,1,308.9312,Train
28,15.7,0,0.045166237000000005,5,178.666,13,1987,0,2,1,2516.724,Train
04,8.985,1,0.057827101,5,128.83100000000002,46,1997,2,0,1,1428.141,Train
26,20.35,0,0.089394766,4,260.1594,13,1987,0,2,1,2093.2752,Train
56,6.59,0,0.10550944,6,85.6908,13,1987,0,2,1,1929.4884,Train
51,19.85,0,0.005234153,4,264.0884,35,2004,2,1,1,5829.7448,Train
22,16.85,0,0.036390174,13,91.4488,46,1997,2,0,1,2082.6224,Train
19,19.349999999999998,0,0.03292824,10,173.1738,27,1985,1,2,3,7298.4996,Train
55,16.75,0,0.081252534,6,256.4988,13,1987,0,2,1,7452.9652,Train
03,17.6,1,0.076552407,10,110.5202,17,2007,2,1,1,450.0808,Train
21,7.905,0,0.016758568999999997,13,250.4408,10,1998,2,2,0,500.6816,Train
10,17.849999999999998,0,0.044248175,13,126.20200000000001,27,1985,1,2,3,3668.558,Train
32,7.785,1,0.038288087,6,103.1964,18,2009,1,2,2,736.3748,Train
18,7.825,0,0.186032678,9,253.0698,35,2004,2,1,1,6088.0752,Train
07,9.0,0,0.031867464,9,101.0016,27,1985,1,2,3,2125.2336,Train
49,20.75,0,0.021370201000000002,14,153.0024,17,2007,2,1,1,2277.036,Train
08,11.099999999999998,0,0.193772568,6,190.3846,19,1985,2,0,0,573.2538,Train
39,6.26,1,0.009866049,10,151.1366,35,2004,2,1,1,2267.049,Train
08,18.2,0,0.082551042,6,147.3734,10,1998,2,2,0,296.9468,Train
06,13.0,0,0.099729888,9,46.306000000000004,18,2009,1,2,2,559.2719999999999,Train
57,20.25,1,0.018801549,6,222.1772,35,2004,2,1,1,5559.43,Train
54,8.695,0,0.11972145099999999,9,95.5094,49,1999,1,0,1,1237.7222,Train
49,7.27,0,0.071222087,14,113.5518,45,2002,2,1,1,569.259,Train
25,10.695,1,0.060371962,2,174.0712,27,1985,1,2,3,3866.9664,Train
20,12.85,0,0.033287541000000004,6,198.4768,45,2002,2,1,1,1379.5376,Train
27,7.075,0,0.05858462,4,142.7128,18,2009,1,2,2,1869.5664,Train
60,20.2,1,0.11679292,0,196.21099999999998,27,1985,1,2,3,5499.508000000001,Train
59,8.195,0,0.031452265,0,94.3462,49,1999,1,0,1,925.462,Train
36,7.09,0,0.00721395,0,47.9034,35,2004,2,1,1,583.2408,Train
31,6.095,0,0.081196619,11,141.4154,46,1997,2,0,1,1418.154,Train
33,19.35,1,0.049916364000000005,6,80.2644,17,2007,2,1,1,942.7728,Train
36,6.15,0,0.04627095,0,99.3384,46,1997,2,0,1,2364.9216,Train
13,17.349999999999998,1,0.02747716,3,87.9856,27,1985,1,2,3,3251.7672,Train
20,20.2,1,0.10470453699999999,6,125.2678,19,1985,2,0,0,254.3356,Train
54,17.7,0,0.012540003000000001,9,167.0474,35,2004,2,1,1,5895.659000000001,Train
23,17.85,0,0.147023834,1,93.7436,18,2009,1,2,2,1134.5232,Train
60,9.395,0,0.15965759599999998,14,224.972,45,2002,2,1,1,7696.648,Train
47,15.75,0,0.141398626,7,250.5382,17,2007,2,1,1,2775.7202,Train
21,7.475,0,0.148821808,6,241.2854,45,2002,2,1,1,5317.0788,Train
04,7.075,0,0.021757498666666666,5,98.0068,18,2009,1,2,2,874.8612,Train
23,6.445,0,0.029691762000000003,0,92.6436,46,1997,2,0,1,1039.9796,Train
19,19.1,0,0.09671552300000001,6,235.0958,35,2004,2,1,1,3038.0454,Train
40,20.25,1,0.014790558999999998,4,193.6162,35,2004,2,1,1,3848.324,Train
01,15.0,1,0.054378253,3,59.1904,46,1997,2,0,1,527.3136,Train
33,6.67,1,0.123428594,13,89.1514,46,1997,2,0,1,2390.8878,Train
50,13.0,1,0.029943462999999997,3,60.222,27,1985,1,2,3,1677.816,Train
29,16.7,1,0.052368060999999994,5,112.7176,13,1987,0,2,1,801.6232,Train
46,7.07,0,0.09386114400000001,13,115.5834,45,2002,2,1,1,1267.0174,Train
33,6.48,0,0.033968647000000005,13,148.0076,45,2002,2,1,1,886.8456,Train
08,19.0,1,0.173154079,6,228.27200000000002,10,1998,2,2,0,452.744,Train
53,13.35,0,0.139735226,5,147.5392,45,2002,2,1,1,3877.6192,Train
31,5.98,0,0.043351895999999994,6,146.6418,27,1985,1,2,3,4414.254,Train
35,9.299999999999999,0,0.042086652,7,122.4388,27,1985,1,2,3,5448.9072,Train
36,9.695,1,0.12848269,0,223.9404,49,1999,1,0,1,4950.8888,Train
13,15.0,0,0.049357077,14,62.6168,17,2007,2,1,1,958.752,Train
52,11.15,1,0.008326735,4,149.9708,17,2007,2,1,1,1956.1204,Train
45,20.85,0,0.021362955,6,103.2306,49,1999,1,0,1,2404.2038,Train
19,9.8,0,0.151420934,11,194.3478,10,1998,2,2,0,387.4956,Train
51,16.35,0,0.032511818,10,165.0842,13,1987,0,2,1,994.7052,Train
35,9.6,1,0.022323658,1,101.29899999999999,45,2002,2,1,1,1754.3829999999998,Train
